"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","vFA (pi)","ERA","xERA","FIP","xFIP","WAR","playerid"
"Yu Darvish","SDP","16","8","0","30","30","194.2","9.11","1.71","1.02",".250","78.2%","36.9%","9.6%","95.0","3.10","3.49","3.31","3.58","4.2","13074"
"Logan Webb","SFG","15","9","0","32","32","192.1","7.63","2.29","0.51",".293","71.8%","56.7%","8.3%","92.4","2.90","3.59","3.04","3.32","4.2","17995"
"Zack Wheeler","PHI","12","7","0","26","26","153.0","9.59","2.00","0.76",".287","77.1%","45.9%","9.8%","96.1","2.82","3.10","2.89","3.06","4.1","10310"
"Alek Manoah","TOR","16","7","0","31","31","196.2","8.24","2.33","0.73",".244","82.6%","37.5%","7.1%","93.9","2.24","3.31","3.35","3.98","4.1","26410"
"Tyler Anderson","LAD","15","5","0","30","28","178.2","6.95","1.71","0.71",".256","77.8%","40.1%","6.4%","90.7","2.57","3.10","3.31","4.11","4.0","12880"
"Jose Quintana","- - -","6","7","0","32","32","165.2","7.44","2.55","0.43",".302","74.2%","46.4%","5.3%","91.3","2.93","3.86","2.99","3.72","4.0","11423"
"Martin Perez","TEX","12","8","0","32","32","196.1","7.75","3.16","0.50",".295","77.0%","51.4%","6.5%","92.9","2.89","3.59","3.27","3.80","3.8","6902"
"Clayton Kershaw","LAD","12","3","0","22","22","126.1","9.76","1.64","0.71",".268","79.4%","47.1%","9.1%","90.8","2.28","2.51","2.57","2.83","3.8","2036"
"Patrick Sandoval","LAA","6","9","0","27","27","148.2","9.14","3.63","0.48",".316","76.8%","47.4%","6.3%","93.2","2.91","3.91","3.09","3.67","3.8","19447"
"Luis Castillo","- - -","8","6","0","25","25","150.1","10.00","2.69","0.78",".275","75.3%","46.9%","10.0%","97.1","2.99","3.31","3.07","3.23","3.7","15689"
"Alex Cobb","SFG","7","8","0","28","28","149.2","9.08","2.59","0.54",".336","68.0%","61.5%","10.2%","95.3","3.73","3.17","2.80","2.89","3.7","6562"
"Blake Snell","SDP","8","10","0","24","24","128.0","12.02","3.59","0.77",".307","74.7%","36.6%","8.3%","95.7","3.38","3.19","2.80","3.21","3.7","13543"
"Nestor Cortes","NYY","12","4","0","28","28","158.1","9.27","2.16","0.91",".232","82.8%","33.5%","8.2%","91.7","2.44","2.70","3.13","3.64","3.6","17874"
"Triston McKenzie","CLE","11","11","0","31","30","191.1","8.94","2.07","1.18",".237","80.3%","32.7%","10.3%","92.7","2.96","3.54","3.59","3.77","3.6","18000"
"Shane McClanahan","TBR","12","8","0","28","28","166.1","10.50","2.06","1.03",".251","80.5%","50.2%","15.7%","97.0","2.54","2.79","3.00","2.60","3.5","21483"
"Brandon Woodruff","MIL","13","4","0","27","27","153.1","11.15","2.47","1.06",".285","78.6%","37.6%","11.0%","96.4","3.05","3.15","3.08","3.14","3.5","16162"
"Joe Musgrove","SDP","10","7","0","30","30","181.0","9.15","2.09","1.09",".276","79.8%","44.6%","12.3%","92.9","2.93","3.27","3.59","3.47","3.5","12970"
"Cristian Javier","HOU","11","9","0","30","25","148.2","11.74","3.15","1.03",".228","83.6%","26.0%","9.1%","93.9","2.54","2.43","3.16","3.53","3.4","17606"
"Merrill Kelly","ARI","13","8","0","33","33","200.1","7.95","2.74","0.94",".269","76.3%","42.8%","10.0%","92.4","3.37","3.62","3.65","3.85","3.3","11156"
"Gerrit Cole","NYY","13","8","0","33","33","200.2","11.53","2.24","1.48",".268","78.2%","42.4%","16.8%","97.8","3.50","3.31","3.47","2.78","3.3","13125"
"Julio Urias","LAD","17","7","0","31","31","175.0","8.54","2.11","1.18",".229","86.6%","39.7%","10.8%","93.1","2.16","2.81","3.71","3.81","3.2","14765"
"Logan Gilbert","SEA","13","6","0","32","32","185.2","8.43","2.38","0.92",".292","77.6%","36.7%","9.2%","96.1","3.20","4.11","3.46","3.78","3.2","22250"
"Ross Stripling","TOR","10","4","1","32","24","134.1","7.44","1.34","0.80",".269","73.6%","43.8%","7.7%","91.9","3.01","3.57","3.11","3.67","3.1","13273"
"Corey Kluber","TBR","10","10","0","31","31","164.0","7.63","1.15","1.10",".317","70.2%","36.1%","9.3%","89.1","4.34","4.00","3.57","3.92","3.0","2429"
"George Kirby","SEA","8","5","0","25","25","130.0","9.21","1.52","0.90",".331","75.1%","45.5%","9.0%","95.4","3.39","3.31","2.99","3.33","3.0","25436"
"Jeffrey Springs","TBR","9","5","0","33","25","135.1","9.58","2.06","0.93",".279","82.3%","40.9%","9.6%","91.7","2.46","3.27","3.04","3.29","3.0","17677"
"Edwin Diaz","NYM","3","1","32","61","0","62.0","17.13","2.61","0.44",".330","90.4%","46.9%","9.4%","99.1","1.31","1.69","0.90","1.04","3.0","14710"
"Drew Rasmussen","TBR","11","7","0","28","28","146.0","7.71","1.91","0.80",".262","76.0%","46.6%","9.0%","95.7","2.84","3.46","3.26","3.56","2.9","25385"
"Kyle Wright","ATL","21","5","0","30","30","180.1","8.68","2.65","0.95",".284","78.9%","55.6%","14.4%","95.1","3.19","3.89","3.58","3.30","2.9","19665"
"Tarik Skubal","DET","7","8","0","21","21","117.2","8.95","2.45","0.69",".299","67.5%","45.7%","7.9%","94.2","3.52","3.34","2.96","3.40","2.9","22267"
"Brady Singer","KCR","10","5","0","27","24","153.1","8.80","2.05","1.06",".300","79.6%","49.0%","14.0%","92.4","3.23","3.97","3.58","3.30","2.9","25377"
"Pablo Lopez","MIA","10","10","0","32","32","180.0","8.70","2.65","1.05",".283","74.2%","46.1%","12.7%","93.5","3.75","3.75","3.71","3.56","2.8","17085"
"Adam Wainwright","STL","11","12","0","32","32","191.2","6.71","2.54","0.75",".302","75.0%","43.2%","8.1%","88.1","3.71","4.53","3.66","4.10","2.8","2233"
"Miles Mikolas","STL","12","13","0","33","32","202.1","6.81","1.73","1.11",".249","74.4%","45.0%","11.9%","93.6","3.29","3.89","3.87","3.80","2.8","9803"
"Jordan Montgomery","- - -","9","6","0","32","32","178.1","7.97","1.82","1.06",".275","75.5%","47.6%","13.0%","93.1","3.48","4.00","3.61","3.43","2.7","16511"
"Chris Bassitt","NYM","15","9","0","30","30","181.2","8.27","2.43","0.94",".282","77.2%","48.8%","10.9%","93.3","3.42","3.46","3.66","3.72","2.7","12304"
"Tony Gonsolin","LAD","16","1","0","24","24","130.1","8.22","2.42","0.76",".207","83.8%","43.1%","8.3%","93.2","2.14","3.12","3.28","3.70","2.7","19388"
"Justin Steele","CHC","4","7","0","24","24","119.0","9.53","3.78","0.61",".317","72.6%","51.2%","8.7%","92.4","3.18","3.59","3.21","3.48","2.6","17312"
"Kyle Freeland","COL","9","11","0","31","31","174.2","6.75","2.73","0.98",".318","70.5%","42.0%","9.5%","90.4","4.53","5.11","4.21","4.49","2.6","16256"
"Taijuan Walker","NYM","12","5","0","29","29","157.1","7.55","2.57","0.86",".284","75.7%","46.2%","9.6%","93.8","3.49","3.94","3.65","3.89","2.5","11836"
"Johnny Cueto","CHW","8","10","0","25","24","158.1","5.80","1.88","0.85",".295","74.9%","42.6%","7.7%","91.5","3.35","4.02","3.80","4.38","2.4","6893"
"Emmanuel Clase","CLE","3","4","42","77","0","72.2","9.54","1.24","0.37",".222","72.3%","63.9%","8.3%","","1.36","1.97","1.98","2.18","2.4","21032"
"Carlos Carrasco","NYM","15","7","0","29","29","152.0","9.00","2.43","1.01",".337","74.7%","46.0%","12.1%","93.3","3.97","4.08","3.53","3.45","2.4","6632"
"Sonny Gray","MIN","8","5","0","24","24","119.2","8.80","2.71","0.83",".277","77.2%","44.5%","9.4%","92.1","3.08","3.67","3.41","3.66","2.4","12768"
"Ranger Suarez","PHI","10","7","0","29","29","155.1","7.47","3.36","0.87",".293","71.8%","55.4%","11.8%","93.3","3.65","3.78","3.87","3.82","2.3","17277"
"Reid Detmers","LAA","7","6","0","25","25","129.0","8.51","3.21","0.91",".277","74.1%","36.0%","8.7%","93.3","3.77","4.05","3.79","4.20","2.3","27468"
"Jameson Taillon","NYY","14","5","0","32","32","177.1","7.66","1.62","1.32",".276","75.3%","40.1%","12.4%","94.1","3.91","4.20","3.94","3.79","2.3","11674"
"Noah Syndergaard","- - -","10","10","0","25","24","134.2","6.35","2.07","0.94",".295","72.4%","42.8%","8.5%","94.5","3.94","4.43","3.83","4.29","2.2","11762"
"Devin Williams","MIL","6","4","15","65","0","60.2","14.24","4.45","0.30",".266","76.8%","51.4%","6.3%","94.1","1.93","2.04","2.01","2.36","2.2","15816"
"Jacob deGrom","NYM","5","4","0","11","11","64.1","14.27","1.12","1.26",".258","73.4%","39.4%","17.0%","98.9","3.08","2.24","2.13","1.54","2.2","10954"
"Cal Quantrill","CLE","15","5","0","32","32","186.1","6.18","2.27","1.01",".278","76.4%","42.1%","9.6%","93.9","3.38","4.31","4.12","4.39","2.2","19312"
"Evan Phillips","LAD","7","3","2","64","0","63.0","11.00","2.14","0.29",".228","83.0%","45.6%","3.9%","96.1","1.14","2.18","1.94","2.72","2.2","17734"
"Jesus Luzardo","MIA","4","7","0","18","18","100.1","10.76","3.14","0.90",".253","71.7%","40.1%","11.5%","96.4","3.32","3.39","3.12","3.11","2.2","19959"
"Mitch Keller","PIT","5","12","0","31","29","159.0","7.81","3.40","0.79",".320","73.2%","49.0%","10.4%","95.7","3.91","4.23","3.88","3.99","2.1","17594"
"Tyler Mahle","- - -","6","8","0","23","23","120.2","9.40","3.21","1.19",".278","69.5%","35.6%","10.4%","93.3","4.40","3.49","3.87","4.03","2.1","16358"
"Joe Ryan","MIN","13","8","0","27","27","147.0","9.24","2.88","1.22",".253","77.8%","27.7%","9.5%","92.0","3.55","3.57","3.99","4.35","2.1","21390"
"Luis Garcia","HOU","15","8","0","28","28","157.1","8.98","2.69","1.32",".260","74.3%","37.6%","12.1%","94.1","3.72","3.59","3.93","3.82","2.1","23735"
"A.J. Minter","ATL","5","4","5","75","0","70.0","12.09","1.93","0.64",".286","76.7%","38.5%","7.1%","96.6","2.06","2.39","2.13","2.68","2.1","18655"
"Reynaldo Lopez","CHW","6","4","0","61","1","65.1","8.68","1.52","0.14",".281","63.3%","38.7%","1.5%","97.1","2.76","2.92","1.93","3.28","2.0","16400"
"Marcus Stroman","CHC","6","7","0","25","25","138.2","7.72","2.34","1.04",".272","72.5%","51.7%","13.9%","92.9","3.50","3.94","3.76","3.49","2.0","13431"
"Frankie Montas","- - -","5","12","0","27","27","144.1","8.85","2.68","1.12",".298","70.9%","45.6%","12.8%","96.2","4.05","4.02","3.79","3.61","2.0","14309"
"Ryan Helsley","STL","9","1","19","54","0","64.2","13.08","2.78","0.84",".185","93.4%","34.7%","9.4%","99.7","1.25","2.04","2.34","2.60","2.0","18138"
"Freddy Peralta","MIL","4","4","0","18","17","78.0","9.92","3.12","0.69",".246","70.1%","40.0%","7.1%","92.9","3.58","2.70","3.06","3.66","2.0","18679"
"JT Brubaker","PIT","3","12","0","28","28","144.0","9.19","3.38","1.06",".334","68.8%","44.0%","11.7%","93.0","4.69","4.56","3.92","3.87","1.9","17578"
"Andres Munoz","SEA","2","5","4","64","0","65.0","13.29","2.08","0.69",".297","76.4%","52.6%","11.4%","100.3","2.49","1.84","2.04","2.04","1.9","20373"
"Lance Lynn","CHW","8","7","0","21","21","121.2","9.17","1.41","1.41",".297","68.6%","42.3%","14.0%","93.0","3.99","3.62","3.82","3.44","1.9","2520"
"Zack Greinke","KCR","4","9","0","26","26","137.0","4.80","1.77","0.92",".306","72.9%","41.3%","8.2%","89.2","3.68","4.78","4.03","4.54","1.9","1943"
"Nick Lodolo","CIN","4","7","0","19","19","103.1","11.41","3.40","1.13",".322","80.1%","46.0%","15.1%","94.5","3.66","3.97","3.90","3.49","1.8","26378"
"Daniel Bard","COL","6","4","34","57","0","60.1","10.29","3.73","0.45",".221","81.6%","51.7%","6.8%","97.9","1.79","2.49","2.86","3.30","1.8","7115"
"Kyle Gibson","PHI","10","8","0","31","31","167.2","7.73","2.58","1.29",".308","67.7%","45.9%","13.9%","92.3","5.05","4.46","4.28","3.94","1.8","10123"
"Jon Gray","TEX","7","7","0","24","24","127.1","9.47","2.76","1.20",".271","70.5%","44.1%","14.2%","96.0","3.96","3.59","3.80","3.46","1.8","14916"
"Lucas Giolito","CHW","11","9","0","30","30","161.2","9.85","3.40","1.34",".340","71.1%","38.5%","14.4%","92.7","4.90","4.23","4.06","3.66","1.8","15474"
"Dean Kremer","BAL","8","7","0","22","21","125.1","6.25","2.44","0.79",".299","77.8%","39.4%","7.3%","93.6","3.23","4.46","3.80","4.43","1.8","19350"
"Rich Hill","BOS","8","7","0","26","26","124.1","7.89","2.68","1.09",".305","68.3%","40.2%","10.1%","88.7","4.27","4.08","3.92","4.12","1.8","4806"
"Robbie Ray","SEA","12","12","0","32","32","189.0","10.10","2.95","1.52",".284","81.2%","39.2%","15.5%","93.6","3.71","3.59","4.17","3.58","1.8","11486"
"Erik Swanson","SEA","3","2","3","57","1","53.2","11.74","1.68","0.50",".295","85.2%","32.5%","5.2%","93.7","1.68","2.30","1.85","2.72","1.7","16587"
"John Schreiber","BOS","4","4","8","64","0","65.0","10.25","2.63","0.42",".268","76.8%","56.3%","6.1%","94.6","2.22","2.57","2.50","3.01","1.7","20020"
"Trevor Stephan","CLE","6","5","3","66","0","63.2","11.59","2.54","0.42",".338","73.5%","48.1%","5.7%","96.8","2.69","2.34","2.19","2.81","1.7","19932"
"Alex Wood","SFG","8","12","0","26","26","130.2","9.02","2.07","1.17",".315","63.9%","48.2%","14.4%","90.6","5.10","4.00","3.76","3.41","1.7","13781"
"Michael King","NYY","6","3","1","34","0","51.0","11.65","2.82","0.53",".281","76.9%","47.0%","9.1%","96.5","2.29","2.83","2.23","2.42","1.7","19853"
"Jose Alvarado","PHI","4","2","2","59","0","51.0","14.29","4.24","0.35",".340","69.8%","56.1%","7.7%","98.2","3.18","2.53","1.92","2.16","1.7","17780"
"Hector Neris","HOU","6","4","3","70","0","65.1","10.88","2.34","0.41",".291","63.4%","34.6%","4.4%","94.4","3.72","3.29","2.35","3.29","1.6","11804"
"Jose Suarez","LAA","8","8","0","22","20","109.0","8.50","2.72","1.16",".289","75.6%","41.3%","11.8%","92.8","3.96","3.67","3.91","3.86","1.6","19911"
"Jordan Romano","TOR","5","4","36","63","0","64.0","10.27","2.95","0.56",".256","80.4%","43.7%","6.5%","96.9","2.11","3.31","2.82","3.44","1.6","16122"
"Chris Martin","- - -","4","1","2","60","0","56.0","11.89","0.80","0.96",".317","75.6%","49.0%","13.0%","95.4","3.05","2.55","2.18","2.01","1.6","11847"
"Caleb Thielbar","MIN","4","3","1","67","0","59.1","12.13","2.73","0.76",".324","69.4%","29.5%","7.1%","92.9","3.49","2.53","2.42","3.07","1.6","10078"
"Jimmy Herget","LAA","1","1","9","49","1","69.0","8.22","1.96","0.52",".243","76.2%","40.1%","6.1%","92.3","2.48","2.92","2.82","3.49","1.6","17556"
"Luis Garcia","SDP","4","6","3","64","0","61.0","10.03","2.51","0.44",".325","68.2%","53.3%","6.4%","97.3","3.39","2.83","2.60","3.11","1.6","6984"
"Liam Hendriks","CHW","4","4","37","58","0","57.2","13.27","2.50","1.09",".296","76.6%","34.9%","11.7%","97.8","2.81","2.59","2.68","2.64","1.6","3548"
"Hunter Greene","CIN","5","13","0","24","24","125.2","11.75","3.44","1.72",".281","76.3%","29.3%","16.1%","99.0","4.44","4.00","4.37","3.64","1.6","22182"
"Raisel Iglesias","- - -","2","6","17","67","0","62.0","11.32","2.03","0.73",".281","76.8%","34.2%","7.6%","95.2","2.47","3.10","2.47","3.00","1.6","17130"
"Rafael Montero","HOU","5","2","14","71","0","68.1","9.61","3.03","0.40",".260","73.7%","52.9%","5.7%","96.5","2.37","2.70","2.64","3.22","1.5","12760"
"Michael Wacha","BOS","11","2","0","23","23","127.1","7.35","2.19","1.27",".260","80.3%","41.0%","12.4%","93.2","3.32","4.56","4.14","3.99","1.5","14078"
"Jhoan Duran","MIN","2","4","8","57","0","67.2","11.84","2.13","0.80",".291","89.3%","61.0%","17.6%","100.9","1.86","2.20","2.52","2.11","1.5","21029"
"Alex Vesia","LAD","5","0","1","63","0","54.1","13.09","3.98","0.33",".292","81.4%","35.0%","3.9%","94.1","2.15","2.79","2.12","3.03","1.5","25007"
"Charlie Morton","ATL","9","6","0","31","31","172.0","10.73","3.30","1.47",".292","76.0%","39.8%","16.5%","94.9","4.34","4.11","4.26","3.61","1.5","4676"
"Nick Pivetta","BOS","10","12","0","33","33","179.2","8.77","3.66","1.35",".300","75.3%","38.5%","12.4%","93.6","4.56","4.65","4.42","4.26","1.5","15454"
"David Bednar","PIT","3","4","19","45","0","51.2","12.02","2.79","0.70",".317","74.9%","33.3%","8.2%","96.6","2.61","3.22","2.44","2.83","1.5","19569"
"Adrian Sampson","CHC","4","5","0","21","19","104.1","6.30","2.33","0.86",".288","77.6%","40.0%","7.7%","92.6","3.11","4.40","3.79","4.39","1.5","13339"
"Braxton Garrett","MIA","3","7","0","17","17","88.0","9.20","2.45","0.92",".321","76.4%","47.8%","11.8%","91.5","3.58","4.05","3.56","3.51","1.5","21844"
"David Peterson","NYM","7","5","0","28","19","105.2","10.73","4.09","0.94",".313","73.9%","49.4%","15.1%","93.7","3.83","3.94","3.64","3.31","1.4","20302"
"Jordan Lyles","BAL","12","11","0","32","32","179.0","7.24","2.61","1.31",".313","73.8%","40.2%","11.4%","91.9","4.42","4.94","4.40","4.40","1.4","7593"
"Joe Jimenez","DET","3","2","2","62","0","56.2","12.23","2.06","0.64",".328","67.4%","33.1%","6.5%","95.9","3.49","2.90","2.00","2.70","1.4","15761"
"Antonio Senzatela","COL","3","7","0","19","19","92.1","5.26","2.24","0.88",".383","70.4%","49.4%","11.3%","94.3","5.07","5.24","4.06","4.07","1.4","15488"
"Cole Irvin","OAK","9","13","0","30","30","181.0","6.36","1.79","1.24",".273","71.4%","37.7%","10.5%","90.9","3.98","4.40","4.21","4.35","1.4","19244"
"Bailey Ober","MIN","2","3","0","11","11","56.0","8.20","1.77","0.64",".277","70.4%","27.8%","4.8%","91.8","3.21","4.71","2.92","4.18","1.4","21224"
"German Marquez","COL","9","13","0","31","31","181.2","7.43","3.12","1.49",".291","68.1%","47.6%","16.9%","95.7","5.00","4.49","4.71","4.02","1.4","15038"
"Collin McHugh","ATL","3","2","0","58","0","69.1","9.74","1.82","0.65",".266","79.4%","39.9%","7.2%","91.3","2.60","3.05","2.71","3.25","1.4","7531"
"Garrett Whitlock","BOS","4","2","6","31","9","78.1","9.42","1.72","1.15",".271","73.1%","40.8%","12.0%","96.1","3.45","3.17","3.29","3.20","1.4","20191"
"Luis Severino","NYY","7","3","0","19","19","102.0","9.88","2.65","1.24",".237","79.9%","44.3%","13.9%","96.3","3.18","2.94","3.70","3.38","1.4","15890"
"Bryan Abreu","HOU","4","0","2","55","0","60.1","13.13","3.88","0.30",".336","81.7%","48.5%","4.9%","97.3","1.94","2.96","2.12","2.69","1.4","16609"
"Ryan Pressly","HOU","3","3","33","50","0","48.1","12.10","2.42","0.74",".260","69.5%","46.1%","12.5%","94.5","2.98","2.62","2.31","2.21","1.4","7005"
"Zach Eflin","PHI","3","5","1","20","13","75.2","7.73","1.78","0.95",".282","66.0%","44.5%","9.6%","93.3","4.04","3.27","3.56","3.81","1.4","13774"
"Felix Bautista","BAL","4","4","15","65","0","65.2","12.06","3.15","0.96",".231","84.3%","42.9%","12.7%","99.3","2.19","2.66","2.92","2.77","1.4","20666"
"Bryan Baker","BAL","4","3","1","66","2","69.2","9.82","3.36","0.39",".311","70.8%","42.4%","4.6%","96.4","3.49","3.22","2.74","3.56","1.4","19804"
"Scott Effross","- - -","1","4","4","60","1","56.2","9.85","2.38","0.48",".284","66.9%","44.6%","5.6%","91.0","2.54","2.51","2.46","3.18","1.3","18384"
"Matt Moore","TEX","5","2","5","63","0","74.0","10.09","4.62","0.36",".257","81.1%","43.9%","4.2%","94.0","1.95","2.83","2.98","3.87","1.3","1890"
"Giovanny Gallegos","STL","3","6","14","57","0","59.0","11.14","2.75","0.92",".261","71.7%","27.5%","7.7%","94.5","3.05","2.92","2.88","3.51","1.3","14986"
"Graham Ashcraft","CIN","5","6","0","19","19","105.0","6.09","2.57","0.94",".314","67.8%","54.5%","12.5%","97.3","4.89","4.02","4.21","4.09","1.3","27552"
"Aaron Civale","CLE","5","6","0","20","20","97.0","9.09","2.04","1.30",".297","62.5%","41.2%","13.1%","90.9","4.92","3.80","3.87","3.62","1.3","19479"
"Jakob Junis","SFG","5","7","0","23","17","112.0","7.88","2.01","1.04",".317","70.3%","43.1%","11.2%","92.0","4.42","4.17","3.65","3.67","1.3","13619"
"Anthony Bass","- - -","4","3","0","73","0","70.1","9.34","2.56","0.77",".256","89.5%","41.2%","8.7%","95.0","1.54","3.03","3.00","3.34","1.3","7982"
"Mitch White","- - -","1","7","0","25","18","99.0","7.09","3.18","0.82",".321","63.5%","43.0%","7.8%","93.7","5.45","4.14","3.87","4.42","1.3","19225"
"Drew Smyly","CHC","7","8","0","22","22","106.1","7.70","2.20","1.35",".275","78.5%","40.1%","11.7%","","3.47","4.17","4.23","4.18","1.3","11760"
"Jake Odorizzi","- - -","6","6","0","22","22","106.1","7.28","2.96","1.18",".292","69.1%","31.7%","9.2%","92.2","4.40","4.11","4.28","4.70","1.3","6397"
"Jason Adam","TBR","2","3","8","67","0","63.1","10.66","2.42","0.71",".194","89.4%","45.7%","8.8%","95.1","1.56","2.09","2.86","3.17","1.3","11861"
"Brayan Bello","BOS","2","8","0","13","11","57.1","8.63","4.24","0.16",".404","68.2%","55.7%","2.4%","97.0","4.71","3.80","2.94","3.80","1.3","23920"
"Pete Fairbanks","TBR","0","0","8","24","0","24.0","14.25","1.13","0.38",".267","89.0%","53.3%","7.7%","99.2","1.13","1.03","0.86","1.12","1.2","17998"
"Camilo Doval","SFG","6","6","27","68","0","67.2","10.64","3.99","0.53",".296","73.7%","56.4%","10.5%","","2.53","2.90","2.98","3.04","1.2","21992"
"Joe Mantiply","ARI","2","5","2","69","0","60.0","9.15","0.90","0.90",".317","77.2%","53.5%","15.0%","91.0","2.85","3.22","2.83","2.52","1.2","14857"
"Dylan Lee","ATL","5","1","0","46","0","50.2","10.48","1.78","0.89",".276","79.1%","35.4%","8.5%","92.0","2.13","2.57","2.66","3.10","1.1","19996"
"Sean Manaea","SDP","8","9","0","30","28","158.0","8.89","2.85","1.65",".291","67.5%","38.2%","14.9%","","4.96","4.05","4.53","3.96","1.1","15873"
"Andrew Heaney","LAD","4","4","0","16","14","72.2","13.62","2.35","1.73",".291","78.9%","34.5%","17.9%","93.0","3.10","3.39","3.75","2.83","1.1","15423"
"Clay Holmes","NYY","7","4","20","62","0","63.2","9.19","2.83","0.28",".262","74.4%","75.8%","10.0%","97.8","2.54","2.41","2.85","2.90","1.1","13649"
"Jose Berrios","TOR","12","7","0","32","32","172.0","7.80","2.35","1.52",".328","70.9%","40.3%","13.5%","94.0","5.23","5.11","4.55","4.21","1.1","14168"
"Adam Ottavino","NYM","6","3","3","66","0","65.2","10.83","2.19","0.82",".276","89.1%","51.9%","12.0%","94.8","2.06","2.35","2.85","2.79","1.1","1247"
"Kenley Jansen","ATL","5","2","41","65","0","64.0","11.95","3.09","1.13",".259","76.1%","29.9%","9.9%","","3.38","2.34","3.21","3.46","1.1","3096"
"Sam Hentges","CLE","3","2","1","57","0","62.0","10.45","2.76","0.44",".257","78.2%","61.5%","8.8%","96.1","2.32","2.79","2.48","2.67","1.1","18548"
"Eric Lauer","MIL","11","7","0","29","29","158.2","8.91","3.35","1.53",".260","79.0%","33.6%","14.1%","93.3","3.69","4.02","4.50","4.08","1.1","19316"
"Jose Urquidy","HOU","13","8","0","29","28","164.1","7.34","2.08","1.59",".264","78.9%","36.0%","12.9%","93.6","3.94","4.56","4.60","4.32","1.1","18413"
"Matt Manning","DET","2","3","0","12","12","63.0","6.86","2.71","0.86",".259","72.1%","41.0%","7.7%","93.5","3.43","4.00","3.78","4.37","1.0","20369"
"Michael Kopech","CHW","5","9","0","25","25","119.1","7.92","4.30","1.13",".223","74.2%","35.7%","9.4%","95.1","3.54","3.94","4.50","4.83","1.0","17282"
"Michael Lorenzen","LAA","8","6","0","18","18","97.2","7.83","4.05","1.01",".262","71.3%","50.2%","12.4%","95.0","4.24","3.91","4.31","4.20","1.0","14843"
"Alexis Diaz","CIN","7","3","10","59","0","63.2","11.73","4.66","0.71",".178","81.4%","30.3%","6.9%","95.8","1.84","2.76","3.32","3.97","1.0","21132"
"Adrian Houser","MIL","6","10","0","22","21","102.2","6.05","4.12","0.70",".289","61.1%","46.7%","8.0%","94.4","4.73","4.94","4.21","4.64","1.0","12718"
"Dakota Hudson","STL","8","7","0","27","26","139.2","5.03","3.93","0.58",".301","70.6%","53.0%","7.2%","91.6","4.45","5.01","4.34","4.82","1.0","19206"
"Taylor Rogers","- - -","4","8","31","66","0","64.1","11.75","2.52","0.98",".327","63.5%","42.4%","11.9%","94.3","4.76","4.11","3.32","3.26","1.0","13449"
"Buck Farmer","CIN","2","2","2","44","0","47.0","10.34","4.79","0.38",".291","69.3%","42.7%","4.5%","94.8","3.83","3.51","3.03","3.86","1.0","14814"
